???????????2017/02/19 20:12:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ishikari ,,,,Wakkanai,,,,Aomori,,,,Sakata,,,,Toyama,,,,Matsumoto,,,,Kyoto,,,,Yonago,,,,Hamada,,,,Fukuoka,,,
,??,,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??
???,?????(cm),,?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm)
,,,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????
12/15/1977,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/16/1977,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/17/1977,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/18/1977,,,0,1,2,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/19/1977,,,0,1,16,0,8,1,16,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1
12/20/1977,,,0,1,2,0,8,1,44,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/21/1977,,,0,1,12,0,8,1,11,0,8,1,4,0,8,1,0,0,8,1,1,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
12/22/1977,,,0,1,1,0,8,1,15,0,8,1,3,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
12/23/1977,,,0,1,4,0,8,1,2,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/24/1977,,,0,1,8,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/25/1977,,,0,1,2,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1,1,0,8,1,0,1,8,1,1,0,8,1,0,0,8,1,0,0,8,1
12/26/1977,,,0,1,25,0,8,1,11,0,8,1,3,0,8,1,4,0,8,1,3,0,8,1,0,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1
12/27/1977,,,0,1,15,0,8,1,12,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
12/28/1977,,,0,1,3,0,8,1,18,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/29/1977,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/30/1977,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
12/31/1977,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/1/1978,,,0,1,2,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/2/1978,,,0,1,13,0,8,1,15,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/3/1978,,,0,1,10,0,8,1,19,0,8,1,2,0,8,1,0,0,8,1,8,0,8,1,0,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1
1/4/1978,,,0,1,14,0,8,1,21,0,8,1,3,0,8,1,4,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/5/1978,,,0,1,3,0,8,1,18,0,8,1,37,0,8,1,4,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/6/1978,,,0,1,3,0,8,1,19,0,8,1,5,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/7/1978,,,0,1,1,0,8,1,14,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/8/1978,,,0,1,1,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/9/1978,,,0,1,7,0,8,1,6,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,2,0,8,1,0,0,8,1,0,0,8,1
1/10/1978,,,0,1,1,0,8,1,5,0,8,1,13,0,8,1,18,0,8,1,2,0,8,1,7,0,8,1,19,0,8,1,0,0,8,1,0,0,8,1
1/11/1978,,,0,1,8,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/12/1978,,,0,1,29,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/13/1978,,,0,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/14/1978,,,0,1,2,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,3,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/15/1978,,,0,1,0,0,8,1,13,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/16/1978,,,0,1,25,0,8,1,18,0,8,1,3,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/17/1978,,,0,1,7,0,8,1,13,0,8,1,2,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/18/1978,,,0,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/19/1978,,,0,1,12,0,8,1,2,0,8,1,0,0,8,1,2,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/20/1978,,,0,1,23,0,8,1,1,0,8,1,1,0,8,1,2,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/21/1978,,,0,1,2,0,8,1,0,1,8,1,1,0,8,1,5,0,8,1,0,0,8,1,0,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1
1/22/1978,,,0,1,9,0,8,1,6,0,8,1,2,0,8,1,25,0,8,1,4,0,8,1,0,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1
1/23/1978,,,0,1,0,0,8,1,8,0,8,1,0,0,8,1,2,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/24/1978,,,0,1,5,0,8,1,23,0,8,1,10,0,8,1,0,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/25/1978,,,0,1,9,0,8,1,5,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/26/1978,,,0,1,9,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/27/1978,,,0,1,0,0,8,1,8,0,8,1,0,0,8,1,0,0,8,1,4,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/28/1978,,,0,1,0,0,8,1,28,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/29/1978,,,0,1,4,0,8,1,22,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/30/1978,,,0,1,7,0,8,1,12,0,8,1,1,0,8,1,6,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/31/1978,,,0,1,43,0,8,1,16,0,8,1,3,0,8,1,29,0,8,1,0,0,8,1,0,0,8,1,4,0,8,1,0,0,8,1,0,0,8,1
2/1/1978,,,0,1,3,0,8,1,9,0,8,1,19,0,8,1,46,0,8,1,0,0,8,1,0,0,8,1,20,0,8,1,4,0,8,1,3,0,8,1
2/2/1978,,,0,1,1,0,8,1,20,0,8,1,4,0,8,1,19,0,8,1,3,0,8,1,0,1,8,1,8,0,8,1,1,0,8,1,0,0,8,1
2/3/1978,,,0,1,0,0,8,1,34,0,8,1,5,0,8,1,40,0,8,1,0,0,8,1,0,0,8,1,13,0,8,1,0,0,8,1,0,0,8,1
2/4/1978,,,0,1,8,0,8,1,22,0,8,1,8,0,8,1,23,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
2/5/1978,,,0,1,0,0,8,1,20,0,8,1,2,0,8,1,12,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/6/1978,,,0,1,1,0,8,1,21,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/7/1978,,,0,1,1,0,8,1,2,0,8,1,5,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/8/1978,,,0,1,7,0,8,1,8,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/9/1978,,,0,1,2,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/10/1978,,,0,1,0,0,8,1,14,0,8,1,1,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/11/1978,,,0,1,0,0,8,1,6,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/12/1978,,,0,1,3,0,8,1,7,0,8,1,0,1,8,1,0,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/13/1978,,,0,1,3,0,8,1,9,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
2/14/1978,,,0,1,2,0,8,1,19,0,8,1,0,0,8,1,5,0,8,1,0,1,8,1,0,0,8,1,2,0,8,1,0,0,8,1,0,1,8,1
2/15/1978,,,0,1,2,0,8,1,25,0,8,1,14,0,8,1,29,0,8,1,1,0,8,1,0,0,8,1,31,0,8,1,3,0,8,1,0,0,8,1
2/16/1978,,,0,1,2,0,8,1,10,0,8,1,8,0,8,1,1,0,8,1,0,1,8,1,0,0,8,1,19,0,8,1,24,0,8,1,1,0,8,1
2/17/1978,,,0,1,0,1,8,1,2,0,8,1,15,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,11,0,8,1,9,0,8,1,0,0,8,1
2/18/1978,,,0,1,0,0,8,1,2,0,8,1,3,0,8,1,9,0,8,1,0,0,8,1,3,0,8,1,9,0,8,1,4,0,8,1,7,0,8,1
2/19/1978,,,0,1,1,0,8,1,5,0,8,1,3,0,8,1,4,0,8,1,0,0,8,1,0,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1
2/20/1978,,,0,1,2,0,8,1,30,0,8,1,4,0,8,1,5,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
2/21/1978,,,0,1,0,0,8,1,12,0,8,1,9,0,8,1,5,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1
2/22/1978,,,0,1,0,0,8,1,11,0,8,1,1,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1
2/23/1978,,,0,1,0,0,8,1,18,0,8,1,6,0,8,1,6,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/24/1978,,,0,1,0,1,8,1,10,0,8,1,3,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/25/1978,,,0,1,0,1,8,1,6,0,8,1,10,0,8,1,9,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1
2/26/1978,,,0,1,17,0,8,1,5,0,8,1,9,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
2/27/1978,,,0,1,6,0,8,1,9,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/28/1978,,,0,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,0,8,1
3/1/1978,,,0,1,0,0,8,1,0,0,8,1,1,0,8,1,6,0,8,1,0,0,8,1,0,0,8,1,5,0,8,1,0,0,8,1,0,0,8,1
3/2/1978,,,0,1,2,0,8,1,3,0,8,1,0,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/3/1978,,,0,1,0,1,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/4/1978,,,0,1,5,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/5/1978,,,0,1,1,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/6/1978,,,0,1,0,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/7/1978,,,0,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/8/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/9/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/10/1978,,,0,1,5,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1
3/11/1978,,,0,1,30,0,8,1,10,0,8,1,1,0,8,1,0,0,8,1,2,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/12/1978,,,0,1,16,0,8,1,4,0,8,1,0,0,8,1,7,0,8,1,1,0,8,1,0,0,8,1,9,0,8,1,0,0,8,1,0,1,8,1
3/13/1978,,,0,1,6,0,8,1,3,0,8,1,1,0,8,1,19,0,8,1,0,0,8,1,0,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1
3/14/1978,,,0,1,3,0,8,1,17,0,8,1,2,0,8,1,8,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
3/15/1978,,,0,1,1,0,8,1,8,0,8,1,0,0,8,1,1,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
3/16/1978,,,0,1,3,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
3/17/1978,,,0,1,0,0,8,1,8,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/18/1978,,,0,1,1,0,8,1,0,1,8,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/19/1978,,,0,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
3/20/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/21/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,7,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/22/1978,,,0,1,0,1,8,1,5,0,8,1,0,0,8,1,0,1,8,1,5,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,0,8,1
3/23/1978,,,0,1,0,0,8,1,1,0,8,1,4,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1
3/24/1978,,,0,1,0,0,8,1,11,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/25/1978,,,0,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/26/1978,,,0,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/27/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/28/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/29/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/30/1978,,,0,1,4,0,8,1,6,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
3/31/1978,,,0,1,3,0,8,1,2,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/1/1978,,,0,1,4,0,8,1,3,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/2/1978,,,0,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/3/1978,,,0,1,0,1,8,1,0,0,8,1,0,1,8,1,0,0,8,1,18,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
4/4/1978,,,0,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/5/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/6/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/7/1978,,,0,1,1,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/8/1978,,,0,1,1,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/9/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/10/1978,,,0,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/11/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/12/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/13/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/14/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/15/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/16/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/17/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/18/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/19/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/20/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/21/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/22/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/23/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/24/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/25/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/26/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/27/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/28/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/29/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
4/30/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/1/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/2/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/3/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/4/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/5/1978,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/6/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/7/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/8/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/9/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/10/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/11/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/12/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/13/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/14/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/15/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/16/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/17/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/18/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/19/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/20/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
5/21/1978,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
